timestamp,day_of_week,hour,minute,hour_float,is_holiday,is_exam_period,active_counters,queue_length,orders_pending,customers_served,average_service_time,predicted_customer_count,waiting_time_minutes,crowd_level,data_source
2026-01-12 08:00:00,0,8,0,8.0,1,0,2,3,3,25,1.33,27,2.6,LOW,SYNTHETIC_DEMO_DATA
2026-01-12 08:30:00,0,8,30,8.5,1,0,2,7,6,23,1.53,27,6.5,LOW,SYNTHETIC_DEMO_DATA
2026-01-12 09:00:00,0,9,0,9.0,1,0,1,13,11,19,1.01,26,14.7,LOW,SYNTHETIC_DEMO_DATA
2026-01-12 09:30:00,0,9,30,9.5,1,0,2,6,7,23,0.96,23,2.6,LOW,SYNTHETIC_DEMO_DATA
2026-01-12 10:00:00,0,10,0,10.0,1,0,1,9,8,17,1.42,21,15.5,LOW,SYNTHETIC_DEMO_DATA
2026-01-12 10:30:00,0,10,30,10.5,1,0,1,12,11,16,1.32,21,17.6,LOW,SYNTHETIC_DEMO_DATA
2026-01-12 11:00:00,0,11,0,11.0,1,0,3,5,8,20,1.39,20,3.7,LOW,SYNTHETIC_DEMO_DATA
2026-01-12 11:30:00,0,11,30,11.5,1,0,1,6,6,19,1.07,21,8.8,LOW,SYNTHETIC_DEMO_DATA
2026-01-12 12:00:00,0,12,0,12.0,1,0,1,34,30,18,1.28,47,51.7,MEDIUM,SYNTHETIC_DEMO_DATA
2026-01-12 12:30:00,0,12,30,12.5,1,0,1,32,27,14,1.24,45,47.2,MEDIUM,SYNTHETIC_DEMO_DATA
2026-01-12 13:00:00,0,13,0,13.0,1,0,2,17,15,29,1.13,41,11.7,MEDIUM,SYNTHETIC_DEMO_DATA
2026-01-12 13:30:00,0,13,30,13.5,1,0,2,29,25,25,1.49,50,26.0,MEDIUM,SYNTHETIC_DEMO_DATA
2026-01-12 14:00:00,0,14,0,14.0,1,0,1,34,28,16,1.3,46,51.2,MEDIUM,SYNTHETIC_DEMO_DATA
2026-01-12 14:30:00,0,14,30,14.5,1,0,1,10,12,17,1.48,22,17.4,LOW,SYNTHETIC_DEMO_DATA
2026-01-12 15:00:00,0,15,0,15.0,1,0,2,12,13,25,1.41,29,10.2,LOW,SYNTHETIC_DEMO_DATA
2026-01-12 15:30:00,0,15,30,15.5,1,0,1,13,10,17,1.28,24,19.3,LOW,SYNTHETIC_DEMO_DATA
2026-01-12 16:00:00,0,16,0,16.0,1,0,1,10,9,17,1.27,20,14.8,LOW,SYNTHETIC_DEMO_DATA
2026-01-12 16:30:00,0,16,30,16.5,1,0,3,3,4,22,1.6,22,1.9,LOW,SYNTHETIC_DEMO_DATA
2026-01-12 17:00:00,0,17,0,17.0,1,0,1,18,15,11,1.79,26,35.8,LOW,SYNTHETIC_DEMO_DATA
2026-01-12 17:30:00,0,17,30,17.5,1,0,1,18,15,17,1.35,27,28.7,LOW,SYNTHETIC_DEMO_DATA
2026-01-12 18:00:00,0,18,0,18.0,1,0,2,4,7,31,1.1,31,3.1,LOW,SYNTHETIC_DEMO_DATA
2026-01-12 18:30:00,0,18,30,18.5,1,0,1,17,16,13,1.51,32,29.7,LOW,SYNTHETIC_DEMO_DATA
2026-01-12 19:00:00,0,19,0,19.0,1,0,3,5,4,22,1.63,22,2.3,LOW,SYNTHETIC_DEMO_DATA
2026-01-12 19:30:00,0,19,30,19.5,1,0,2,5,6,24,1.45,24,5.4,LOW,SYNTHETIC_DEMO_DATA
2026-01-13 08:00:00,1,8,0,8.0,0,0,1,28,26,17,1.49,37,47.5,MEDIUM,SYNTHETIC_DEMO_DATA
2026-01-13 08:30:00,1,8,30,8.5,0,0,2,56,45,22,1.57,79,49.0,HIGH,SYNTHETIC_DEMO_DATA
2026-01-13 09:00:00,1,9,0,9.0,0,0,3,52,43,35,1.44,84,27.8,HIGH,SYNTHETIC_DEMO_DATA
2026-01-13 09:30:00,1,9,30,9.5,0,0,2,26,21,23,1.58,44,24.7,MEDIUM,SYNTHETIC_DEMO_DATA
2026-01-13 10:00:00,1,10,0,10.0,0,0,3,5,7,37,1.2,37,2.4,MEDIUM,SYNTHETIC_DEMO_DATA
2026-01-13 10:30:00,1,10,30,10.5,0,0,4,62,51,37,1.72,98,29.2,VERY HIGH,SYNTHETIC_DEMO_DATA
2026-01-13 11:00:00,1,11,0,11.0,0,0,5,40,36,50,1.79,82,16.7,HIGH,SYNTHETIC_DEMO_DATA
2026-01-13 11:30:00,1,11,30,11.5,0,0,3,19,16,36,1.49,49,11.5,MEDIUM,SYNTHETIC_DEMO_DATA
2026-01-13 12:00:00,1,12,0,12.0,0,0,4,66,57,37,1.77,103,32.1,VERY HIGH,SYNTHETIC_DEMO_DATA
2026-01-13 12:30:00,1,12,30,12.5,0,0,4,70,57,39,1.71,106,34.3,VERY HIGH,SYNTHETIC_DEMO_DATA
2026-01-13 13:00:00,1,13,0,13.0,0,0,5,60,50,49,1.79,104,24.7,VERY HIGH,SYNTHETIC_DEMO_DATA
2026-01-13 13:30:00,1,13,30,13.5,0,0,4,70,58,34,1.88,107,37.1,VERY HIGH,SYNTHETIC_DEMO_DATA
2026-01-13 14:00:00,1,14,0,14.0,0,0,3,31,27,35,1.36,69,16.6,MEDIUM,SYNTHETIC_DEMO_DATA
2026-01-13 14:30:00,1,14,30,14.5,0,0,3,31,27,37,1.29,68,16.1,MEDIUM,SYNTHETIC_DEMO_DATA
2026-01-13 15:00:00,1,15,0,15.0,0,0,2,12,14,29,1.23,31,9.8,LOW,SYNTHETIC_DEMO_DATA
2026-01-13 15:30:00,1,15,30,15.5,0,0,1,20,16,20,1.24,35,28.7,LOW,SYNTHETIC_DEMO_DATA
2026-01-13 16:00:00,1,16,0,16.0,0,0,1,21,18,15,1.51,33,36.0,LOW,SYNTHETIC_DEMO_DATA
2026-01-13 16:30:00,1,16,30,16.5,0,0,4,57,47,35,1.93,85,31.3,HIGH,SYNTHETIC_DEMO_DATA
2026-01-13 17:00:00,1,17,0,17.0,0,0,3,54,44,34,1.57,87,33.4,HIGH,SYNTHETIC_DEMO_DATA
2026-01-13 17:30:00,1,17,30,17.5,0,0,4,44,38,38,1.68,76,19.7,HIGH,SYNTHETIC_DEMO_DATA
2026-01-13 18:00:00,1,18,0,18.0,0,0,2,26,21,30,1.09,52,17.5,MEDIUM,SYNTHETIC_DEMO_DATA
2026-01-13 18:30:00,1,18,30,18.5,0,0,2,23,20,28,1.36,45,18.7,MEDIUM,SYNTHETIC_DEMO_DATA
2026-01-13 19:00:00,1,19,0,19.0,0,0,3,8,10,29,1.0,29,3.4,LOW,SYNTHETIC_DEMO_DATA
2026-01-13 19:30:00,1,19,30,19.5,0,0,1,6,5,17,1.39,18,10.3,LOW,SYNTHETIC_DEMO_DATA
2026-01-14 08:00:00,2,8,0,8.0,0,0,2,16,14,28,1.41,39,13.7,MEDIUM,SYNTHETIC_DEMO_DATA
2026-01-14 08:30:00,2,8,30,8.5,0,0,3,31,28,44,1.13,69,13.8,MEDIUM,SYNTHETIC_DEMO_DATA
2026-01-14 09:00:00,2,9,0,9.0,0,0,2,56,48,24,1.5,80,48.7,HIGH,SYNTHETIC_DEMO_DATA
2026-01-14 09:30:00,2,9,30,9.5,0,0,1,29,27,15,1.5,40,50.1,MEDIUM,SYNTHETIC_DEMO_DATA
2026-01-14 10:00:00,2,10,0,10.0,0,0,1,30,27,15,1.73,38,57.7,MEDIUM,SYNTHETIC_DEMO_DATA
2026-01-14 10:30:00,2,10,30,10.5,0,0,4,49,41,38,1.7,84,23.3,HIGH,SYNTHETIC_DEMO_DATA
2026-01-14 11:00:00,2,11,0,11.0,0,0,4,48,42,44,1.6,88,22.0,HIGH,SYNTHETIC_DEMO_DATA
2026-01-14 11:30:00,2,11,30,11.5,0,0,4,10,11,53,1.26,56,3.7,MEDIUM,SYNTHETIC_DEMO_DATA
2026-01-14 12:00:00,2,12,0,12.0,0,0,3,72,59,29,1.67,105,45.0,VERY HIGH,SYNTHETIC_DEMO_DATA
2026-01-14 12:30:00,2,12,30,12.5,0,0,4,70,57,40,1.84,107,36.1,VERY HIGH,SYNTHETIC_DEMO_DATA
2026-01-14 13:00:00,2,13,0,13.0,0,0,3,72,60,32,1.7,103,45.8,VERY HIGH,SYNTHETIC_DEMO_DATA
2026-01-14 13:30:00,2,13,30,13.5,0,0,4,68,55,33,2.03,100,38.1,VERY HIGH,SYNTHETIC_DEMO_DATA
2026-01-14 14:00:00,2,14,0,14.0,0,0,2,51,42,31,1.2,80,34.8,HIGH,SYNTHETIC_DEMO_DATA
2026-01-14 14:30:00,2,14,30,14.5,0,0,4,21,20,49,1.42,64,9.1,MEDIUM,SYNTHETIC_DEMO_DATA
2026-01-14 15:00:00,2,15,0,15.0,0,0,3,1,4,25,1.68,25,1.0,LOW,SYNTHETIC_DEMO_DATA
